'Non bird of prey', 4, 'Solitary'
'Non bird of prey', 2, 'Gray-tailed'
'Non bird of prey', 3, 'Wandering'
'Non bird of prey', 2, 'Spotted'
'Non bird of prey', 2, 'Greater'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Lesser'
'Non bird of prey', 1, 'Marsh'
'Non bird of prey', 1, 'Wood'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 4, 'Oriental'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 3, 'South Polar'
'Non bird of prey', 3, 'Pomarine'
'Non bird of prey', 4, 'Parasitic'
'Non bird of prey', 2, 'Long-tailed'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 2, 'Thick-billed'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 1, 'Black'
'Non bird of prey', 2, 'Pigeon'
'Non bird of prey', 2, 'Long-billed'
'Non bird of prey', 2, 'Marbled'
'Non bird of prey', 2, "Kittlitz's"
'Non bird of prey', 1, "Scripps's"
'Non bird of prey', 3, 'Guadalupe'
'Non bird of prey', 3, "Craveri's"
'Non bird of prey', 2, 'Ancient'
'Non bird of prey', 2, "Cassin's"
'Non bird of prey', 3, 'Parakeet'
'Non bird of prey', 1, 'Least'
'Non bird of prey', 2, 'Whiskered'
'Non bird of prey', 2, 'Crested'
'Non bird of prey', 4, 'Rhinoceros'
'Non bird of prey', 3, 'Atlantic'
'Non bird of prey', 1, 'Horned'
'Non bird of prey', 2, 'Tufted'
'Non bird of prey', 3, 'Swallow-tailed'
'Non bird of prey', 3, 'Black-legged'
'Non bird of prey', 3, 'Red-legged'
'Non bird of prey', 3, 'Ivory'
'Non bird of prey', 2, "Sabine's"
'Non bird of prey', 3, "Bonaparte's"
'Non bird of prey', 3, 'Black-headed'
'Non bird of prey', 2, 'Little'
'Non bird of prey', 2, "Ross's"
'Non bird of prey', 2, 'Laughing'
'Non bird of prey', 2, "Franklin's"
'Non bird of prey', 2, "Belcher's"
'Non bird of prey', 2, 'Black-tailed'
'Non bird of prey', 2, "Heermann's"
'Non bird of prey', 1, 'Mew'
'Non bird of prey', 2, 'Ring-billed'
'Non bird of prey', 2, 'Western'
'Non bird of prey', 4, 'Yellow-footed'
'Non bird of prey', 4, 'California'
'Non bird of prey', 2, 'Herring'
'Non bird of prey', 4, 'Yellow-legged'
